year papers
2016 46
2015 7427
2014 14435
2013 14490
2012 12793
2011 11576
2010 10864
2009 9351
2008 8137
2007 7443
2006 6647
2005 5678
2004 4772
2003 3343
2002 2526
2001 2410
2000 1636
1999 1224
1998 1368
1997 1122
1996 969
1995 610
1994 520
1993 358
1992 201
1991 215
1990 218
1989 183
1988 128
1987 79
1986 60
1985 59
1984 35
1983 20
1982 14
1981 3
1980 2
1978 1
1975 1
1974 2
1972 1
