year papers
2016 15
2015 2702
2014 5293
2013 5142
2012 4663
2011 4231
2010 4003
2009 3369
2008 2927
2007 2786
2006 2440
2005 2133
2004 1724
2003 1219
2002 948
2001 867
2000 617
1999 481
1998 467
1997 439
1996 370
1995 227
1994 154
1993 129
1992 78
1991 59
1990 52
1989 46
1988 41
1987 22
1986 22
1985 23
1984 11
1983 6
1981 1
1978 1
1975 1
1974 1
